question,document
How do I create a new column with normalized vectors from an existing vector column?,5039707c1a
What function can I use with NumPy and Pandas to scale a vector by its norm?,5039707c1a
How do I get the 75th percentile from a pandas DataFrame column?,b4c8ac5a0c
What's the pandas way to calculate a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find the percentile value of a column in pandas?,b4c8ac5a0c
Is there a simple method to compute a quantile on a DataFrame column in pandas?,b4c8ac5a0c
How do I use pandas to get the 75% percentile with quantile()?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I clear out all Docker volumes using the command line?,66ccbb7da0
"Is there a quick way to wipe containers, images, and volumes in Docker from terminal commands?",66ccbb7da0
"What terminal commands should I use to clean up all Docker stuff like containers, images, and volumes?",66ccbb7da0
"How can I make Streamlit let a user vote only once per submission, like just +1 or -1 after clicking ask?",2e729f1271
Why does my `st.session.submitted` keep flipping back to True even after one of the feedback buttons is clicked?,2e729f1271
What’s the right way to disable the feedback buttons until the user submits text with the ask button?,2e729f1271
I’m stuck with Streamlit session state getting reassigned after feedback — where should I look for the fix?,2e729f1271
Is there a known solution for `st.session.submitted` being reset when using feedback buttons in Streamlit?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, even though it works locally?",e8df9f0d12
"My Streamlit app runs outside Docker, but docker-compose crashes with an OCI runtime error. What am I missing in my setup?",e8df9f0d12
"How do I fix the ""failed to create shim task"" / ""exec: streamlit not found"" issue when launching a Streamlit container with docker-compose?",e8df9f0d12
Do I need to add anything special to my Docker setup so Streamlit can be started from docker-compose without that PATH error?,e8df9f0d12
What should I check and rebuild if docker-compose says it can't find the streamlit command inside the container?,e8df9f0d12
"Is the capstone project supposed to be done alone, or can it be a team effort?",0fab61eca2
Can I work on the capstone with other students if we split up the idea somehow?,0fab61eca2
"If two people build one shared system, is that still allowed for the capstone?",0fab61eca2
Does each capstone submission need its own repo and separate part that can be graded on its own?,0fab61eca2
What happens if my project can’t be checked independently for each person involved?,0fab61eca2
"Do I need to submit two capstone projects, or is one project enough for the course?",d5fc98925d
What does attempt 1 and attempt 2 mean for the capstone submission window?,d5fc98925d
"If my first submission gets rejected or fails, can I fix it and submit again later?",d5fc98925d
"Can I submit two projects just to get more practice, and if so do they need to be on different data and topics?",d5fc98925d
"If I miss the first capstone deadline, can I still join the second submission window and catch up?",d5fc98925d
"Is the competition considered the capstone project, or are they separate things?",e892d44e42
"Can I use the competition as my capstone, or do I still need to do the capstone on my own?",e892d44e42
"If I join the math-kaggle LLM competition, does that count toward the capstone requirement?",e892d44e42
"Can we make teams for the competition, and would that replace the individual capstone?",e892d44e42
Do I still have to submit an individual capstone if I participate in the competition with a group?,e892d44e42
How will my capstone project be scored in this course?,9a2e2d2008
Who reviews a submitted capstone project before the final grade is set?,9a2e2d2008
"Do I also have to grade other students' capstone projects, and what happens if I don't?",9a2e2d2008
Is the final capstone grade based on all reviewer scores or something else?,9a2e2d2008
What rules should peer reviewers follow when grading the capstone project?,9a2e2d2008
"After the project submission deadline, how are the review projects assigned to each participant?",eae0fb50aa
"Will we get an Excel sheet with the projects we need to grade, and when does that happen?",eae0fb50aa
How many capstone projects does each participant have to review after submissions close?,eae0fb50aa
"Do the peer-review assignments only come out after the deadline, or earlier in the capstone project?",eae0fb50aa
"Once the submission deadline passes, what is the process for distributing projects for grading?",eae0fb50aa
"I already turned in my capstone project, so why is the review page still empty for me?",a8a7fef016
"After the deadline is over, do I get to pick which projects I review, or are they assigned automatically?",a8a7fef016
Why can’t I start evaluating other students’ projects yet even though I submitted mine?,a8a7fef016
Is there a way to see the list of projects to review before it gets released?,a8a7fef016
What happens with project evaluations once the submission deadline has passed?,a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a GitHub page with datasets and ideas I can use for the project?,e76a70cde3
What’s the best place to find a list of possible project ideas and data sources?,e76a70cde3
Can you point me to any tips or guidelines for choosing a project dataset?,e76a70cde3
"Do we have a page that collects project ideas, datasets, and useful guidance?",e76a70cde3
"Do I have to use Airflow, Mage, or Kestra in the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion part as a plain Python script that loads and indexes the data, will that still get full points?",d4f7c08ea1
"Can I use a Jupyter notebook for the ingestion pipeline in the capstone, and how many points would that count for?",d4f7c08ea1
When would it actually make sense to add an orchestrator to the capstone instead of just using Python?,d4f7c08ea1
"Should I include an orchestration tool only to satisfy the project rubric, or is it okay to skip it if it doesn’t fit my setup?",d4f7c08ea1
How can I test a recommender-type RAG when there isn’t any clear ground-truth Q&A data?,9b0e2d6a47
What’s a good way to create synthetic queries for evaluation if I only have item descriptions?,9b0e2d6a47
Can I use an LLM as a judge to score the quality of a RAG recommender output?,9b0e2d6a47
"For ranking-based retrieval, should I use hit rate or NDCG, and why?",9b0e2d6a47
How do I measure whether my retriever is doing well when multiple results could be acceptable?,9b0e2d6a47
"What chunking method should I start with for a big PDF corpus, and how do I test if it works?",6f2a8b3d10
Is it worth trying LLM-based section splitting instead of just using fixed token chunks?,6f2a8b3d10
"Should I add summaries to each chunk when indexing long documents, or is that overkill?",6f2a8b3d10
"For legal or finance docs, when does BM25 plus embeddings make more sense than dense search alone?",6f2a8b3d10
What tools can I use to turn PDFs into cleaner markdown before I split them into chunks?,6f2a8b3d10
"What does reproducibility mean for this project, and do I need to give reviewers my API keys?",e5d8a2c761
How should I let someone rebuild the search index from the dataset without my credentials?,e5d8a2c761
"What should I put in .env.example, and should my real .env file be committed to the repo?",e5d8a2c761
Do you recommend using a cheap model so the reviewer doesn't spend too much when testing it?,e5d8a2c761
What do I need to pin or document so the setup works the same on another machine?,e5d8a2c761
"Can I do the homework and capstone in JavaScript, Go, or another language instead of Python?",ea815eb858
"Is Python basically required for the project, or just recommended?",ea815eb858
"If I use a non-Python stack, what should I include in the README so the reviewer can run it?",ea815eb858
Do reviewers expect the course assignments to be written in Python only?,ea815eb858
"What kind of install and run instructions are needed if I submit a project in Rust, Java, or R?",ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with previous project submissions for the LLM Zoomcamp?,930286278d
Can I check old LLM Zoomcamp projects to get an idea of what to build?,930286278d
Where are the 2024 and 2025 LLM Zoomcamp project examples listed?,930286278d
Is there a place to browse submitted capstone repos from earlier LLM Zoomcamp runs?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
"Should I announce my project topic somewhere first, or can I just begin?",897a350476
Can I get feedback on my capstone idea in Slack before I start?,897a350476
Is it okay if my project is on a topic similar to someone else's previous project?,897a350476
Where can I look at old capstone projects to judge the right scope for my own idea?,897a350476
Can I build my capstone as a Telegram bot or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use something like a CLI or Slack app?",7318a90b14
Do you have to expose the project through a specific kind of interface for evaluation?,7318a90b14
"If I choose a notebook or another custom interface, is that still acceptable for the capstone?",7318a90b14
"Will the course show how to make these user interfaces, or do I need to set that up myself?",7318a90b14
What’s a good tool for pulling text out of PDFs for a RAG app?,d8b28c47a0
"If my PDFs are scanned images, what can I use to get the text?",d8b28c47a0
"Should I use docling, PyMuPDF, or unstructured for document extraction in the capstone?",d8b28c47a0
"Is there a recommended OCR option for image-only PDFs, or can I just use an API?",d8b28c47a0
How do I decide which PDF-to-text extractor works best for my documents?,d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is that not allowed?",d850a0e7ea
Is it okay to take the dlt workshop materials and use them in another project I'm building?,d850a0e7ea
Would this open-source workshop be usable for something like an MLOps Zoomcamp project too?,d850a0e7ea
"If I have questions while using the workshop material in my project, am I supposed to ask them somewhere?",d850a0e7ea
Am I allowed to share or apply the workshop examples directly in my own work since dlt is open-source?,d850a0e7ea
How do I create a new dlt project for loading data from the cloud into DuckDB?,6bceeebf04
What command should I run to initialize a filesystem source with dlt?,6bceeebf04
I want to start a dlt pipeline from cloud files—what’s the setup command?,6bceeebf04
How do I bootstrap a dlt project using filesystem and DuckDB together?,6bceeebf04
What’s the first command for a new dlt ingestion project from cloud storage?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
What should I change if `db.create_table(...)` still seems to point to `employee_handbook` instead of `homework`?,0407213397
"I renamed the table to `notion_pages___homework`, but opening it still fails — what did I miss in the pipeline config?",0407213397
Is the error caused by leaving `employee_handbook` somewhere in my settings even after switching to `homework`?,0407213397
How can I fix the table-not-found issue in the dlt homework pipeline without changing the database code?,0407213397
Why do I get FileNotFoundError saying the notion_pages___homework table doesn't exist when I run main() in the dlt workshop?,e95bfafc0e
"What should I change if db.create_table keeps getting mentioned for notion_pages___homework, but the table still isn't found?",e95bfafc0e
"In the open-source data ingestion homework, what is the right table name I should open in line 3?",e95bfafc0e
"Is there a typo in the code for opening the notion pages homework table, and how do I fix it?",e95bfafc0e
How do I correctly open the homework table for notion pages so main() stops failing with a missing table error?,e95bfafc0e
How can I see a list of all tables in the database?,e394e6f738
Is there a way to check which tables exist in the DB?,e394e6f738
What method should I call to get all table names?,e394e6f738
How do I inspect the tables created in my database?,e394e6f738
How can I find out the names of every table in the db?,e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or are those still missing?",cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks today?,cd19f122f3
Is there any built-in connector in dlt for ClickHouse or StarRocks?,cd19f122f3
What’s the current status of ClickHouse and StarRocks support in dlt?,cd19f122f3
"If dlt doesn’t have ClickHouse or StarRocks connectors yet, can the community add them?",cd19f122f3
Why am I getting a 401 Unauthorized when my notebook calls the Notion search API?,0dfba07ace
What should I check if I see an authorization error with api.notion.com/v1/search in my notebook?,0dfba07ace
Could this Notion API error be because my key is wrong or missing permissions?,0dfba07ace
"How do I fix the ""Notebook does not have secret access"" problem when using Notion API?",0dfba07ace
What are the first things to verify if my Notion token seems to work but the request still gets blocked?,0dfba07ace
"Why does pip keep giving me requests 2.28 when I need 2.32.3 for lancedb, and how do I force the right version?",4b30b918bc
Is there a way to install requests straight from the official source so I don’t get the old version?,4b30b918bc
My install is stuck on requests v2.28 instead of v2.32.3 — what command should I use to fix it?,4b30b918bc
"Could a bad requests version cause a 401 error in this setup, or is that usually an access-key issue?",4b30b918bc
What’s the exact pip command to pull the newer requests release from GitHub instead of the package index?,4b30b918bc
